from	to	weight	type
7922340	11232916	1	askerAnswerer
5047338	5136550	1	askerAnswerer
11701537	3994824	1	askerAnswerer
10243423	3416340	1	askerAnswerer
8186293	5974433	1	askerAnswerer
847200	12192957	1	askerAnswerer
10407138	5136550	1	askerAnswerer
2066786	10133797	1	askerAnswerer
1745048	5136550	1	askerAnswerer
11551046	2846923	1	askerAnswerer
373655	2154440	1	askerAnswerer
373655	1735003	1	askerAnswerer
373655	423926	1	askerAnswerer
11628272	11628272	1	askerAnswerer
6456798	3399825	1	askerAnswerer
6456798	5298937	1	askerAnswerer
11210924	11143609	1	askerAnswerer
5248987	7408462	1	askerAnswerer
5438313	9477338	1	askerAnswerer
5438313	5597718	1	askerAnswerer
8976407	9794742	1	askerAnswerer
8976407	349130	1	askerAnswerer
4142753	2099607	1	askerAnswerer
9177422	10014769	1	askerAnswerer
9177422	4126114	1	askerAnswerer
9177422	11152011	1	askerAnswerer
11164691	2444909	1	askerAnswerer
11164691	423926	1	askerAnswerer
10022290	2099607	1	askerAnswerer
4599450	10921263	1	askerAnswerer
10547105	10025506	1	askerAnswerer
10547105	5208239	1	askerAnswerer
9222818	415016	1	askerAnswerer
9222818	7904315	1	askerAnswerer
8575076	2097240	1	askerAnswerer
7531575	7067304	1	askerAnswerer
10789317	8112138	1	askerAnswerer
3236691	5495381	1	askerAnswerer
10783111	2099607	1	askerAnswerer
1093708	2099607	1	askerAnswerer
1093708	5884955	1	askerAnswerer
3492226	6431410	1	askerAnswerer
4803860	8382707	1	askerAnswerer
8513493	5495304	1	askerAnswerer
6763456	2099607	1	askerAnswerer
10245126	10655346	1	askerAnswerer
10245126	2099607	1	askerAnswerer
4288666	4288666	1	askerAnswerer
4288666	1236689	1	askerAnswerer
10589692	10589692	1	askerAnswerer
6286493	3114765	1	askerAnswerer
1298461	2099607	1	askerAnswerer
10533365	2099607	1	askerAnswerer
3276237	2099607	1	askerAnswerer
7781194	2099607	1	askerAnswerer
4293998	4293998	1	askerAnswerer
8061600	2099607	1	askerAnswerer
2439854	2439854	1	askerAnswerer
706677	992489	1	askerAnswerer
8100895	9393102	1	askerAnswerer
1118109	2099607	1	askerAnswerer
10032996	2097240	1	askerAnswerer
10032996	10062180	1	askerAnswerer
8798570	2097240	1	askerAnswerer
2809263	7423389	1	askerAnswerer
9328846	9328846	1	askerAnswerer
user5339769	871910	1	askerAnswerer
811344	4790871	1	askerAnswerer
3844480	3844480	1	askerAnswerer
3011570	9758922	1	askerAnswerer
3011570	9298528	1	askerAnswerer
4704873	349130	1	askerAnswerer
6395388	6395388	1	askerAnswerer
3478580	3697191	1	askerAnswerer
3478580	8563649	1	askerAnswerer
3478580	user9606893	1	askerAnswerer
9333818	1187956	1	askerAnswerer
9212155	1508542	1	askerAnswerer
9212155	7655725	1	askerAnswerer
9589617	5499527	1	askerAnswerer
9418382	8756315	1	askerAnswerer
9418382	567620	1	askerAnswerer
2237916	5974433	1	askerAnswerer
2237916	712995	1	askerAnswerer
4697075	2060205	1	askerAnswerer
8505488	712995	1	askerAnswerer
3765706	8581827	1	askerAnswerer
1798137	5974433	1	askerAnswerer
5302826	8249869	1	askerAnswerer
4938505	5974433	1	askerAnswerer
9633432	9461915	1	askerAnswerer
4509378	5974433	1	askerAnswerer
4509378	7443104	1	askerAnswerer
11170350	5661194	1	askerAnswerer
8843300	10273558	1	askerAnswerer
10584990	10584990	1	askerAnswerer
7718241	11244336	1	askerAnswerer
6997665	3337089	1	askerAnswerer
5500597	5500597	1	askerAnswerer
11867828	2099607	1	askerAnswerer
10281487	177498	1	askerAnswerer
10281487	10281487	1	askerAnswerer
11753168	11250466	1	askerAnswerer
11762082	5668710	1	askerAnswerer
5351641	11456939	1	askerAnswerer
9051428	1509248	1	askerAnswerer
6395618	6395618	1	askerAnswerer
6395618	10606534	1	askerAnswerer
8027995	8332501	1	askerAnswerer
8601704	7896849	1	askerAnswerer
8601704	11273110	1	askerAnswerer
11268861	10706172	1	askerAnswerer
2424542	11260421	1	askerAnswerer
6059213	7378795	1	askerAnswerer
590335	5974433	1	askerAnswerer
590335	4356204	1	askerAnswerer
590335	8046030	1	askerAnswerer
590335	4549682	1	askerAnswerer
5585432	2099607	1	askerAnswerer
4343153	5974433	1	askerAnswerer
4343153	10974829	1	askerAnswerer
9585135	5495381	1	askerAnswerer
11033613	11029007	1	askerAnswerer
11033613	8893595	1	askerAnswerer
11033613	9163909	1	askerAnswerer
6854964	11015383	1	askerAnswerer
10095977	752843	1	askerAnswerer
10095977	8068733	1	askerAnswerer
10095977	9204291	1	askerAnswerer
2641587	10938273	1	askerAnswerer
10843708	10843708	1	askerAnswerer
7258619	7383560	1	askerAnswerer
6589409	9277245	1	askerAnswerer
8916723	5140223	1	askerAnswerer
4561314	4561314	1	askerAnswerer
6070667	10583434	1	askerAnswerer
10865204	5495304	1	askerAnswerer
10865204	2099607	1	askerAnswerer
10159144	10159144	1	askerAnswerer
2607447	8112138	1	askerAnswerer
10757549	user9477964	1	askerAnswerer
8798570	2099607	1	askerAnswerer
10724777	2097240	1	askerAnswerer
2651073	9280994	1	askerAnswerer
10693988	2099607	1	askerAnswerer
1116068	8609330	1	askerAnswerer
3755087	2099607	1	askerAnswerer
7934206	10494794	1	askerAnswerer
6075854	2097240	1	askerAnswerer
6075854	9160548	1	askerAnswerer
6075854	7881422	1	askerAnswerer
3737468	2464597	1	askerAnswerer
9768291	9768291	1	askerAnswerer
7944338	10238218	1	askerAnswerer
3578476	5668710	1	askerAnswerer
3578476	2099607	1	askerAnswerer
7054410	4867531	1	askerAnswerer
7054410	7054410	1	askerAnswerer
10200019	3607203	1	askerAnswerer
8926217	5495381	1	askerAnswerer
9886508	4001737	1	askerAnswerer
9886508	2050	1	askerAnswerer
5825953	4722692	1	askerAnswerer
8283069	471438	1	askerAnswerer
anon	4320693	1	askerAnswerer
anon	4867193	1	askerAnswerer
9559874	4320693	1	askerAnswerer
8558584	8563649	1	askerAnswerer
8145356	5974433	1	askerAnswerer
6435921	556014	1	askerAnswerer
6435921	463213	1	askerAnswerer
7687401	7687401	1	askerAnswerer
7945697	3301202	1	askerAnswerer
7945697	5495304	1	askerAnswerer
497600	497600	1	askerAnswerer
2469211	5359882	1	askerAnswerer
3457761	5727175	1	askerAnswerer
1116068	2097240	1	askerAnswerer
860566	5974433	1	askerAnswerer
860566	7137636	1	askerAnswerer
5981076	6791223	1	askerAnswerer
6063977	5352399	1	askerAnswerer
10187580	9710391	1	askerAnswerer
1487087	4685471	1	askerAnswerer
5771979	5771979	1	askerAnswerer
5771979	6117017	1	askerAnswerer
12168024	1699075	1	askerAnswerer
1268426	1158241	1	askerAnswerer
1268426	9477338	1	askerAnswerer
11325381	1029324	1	askerAnswerer
5931672	3987085	1	askerAnswerer
6118662	4935621	1	askerAnswerer
10273558	10878733	1	askerAnswerer
6947284	11759010	1	askerAnswerer
6914009	6914009	1	askerAnswerer
8981905	1462770	1	askerAnswerer
8981905	5094841	1	askerAnswerer
4729764	2099607	1	askerAnswerer
4729764	7454706	1	askerAnswerer
4406595	7126023	1	askerAnswerer
8030267	5154274	1	askerAnswerer
8401148	10222665	1	askerAnswerer
11352300	11352300	1	askerAnswerer
3219201	3033937	1	askerAnswerer
9335974	9335974	1	askerAnswerer
9194527	6276241	1	askerAnswerer
10082791	10082791	1	askerAnswerer
9922198	10944202	1	askerAnswerer
9697805	3794110	1	askerAnswerer
7622536	3027854	1	askerAnswerer
7622536	6670629	1	askerAnswerer
348637	2099607	1	askerAnswerer
1666546	5642366	1	askerAnswerer
1691278	4297035	1	askerAnswerer
2114952	2099607	1	askerAnswerer
2114952	3522130	1	askerAnswerer
8163150	3374996	1	askerAnswerer
312605	4249707	1	askerAnswerer
9468014	2099607	1	askerAnswerer
10433093	user9477964	1	askerAnswerer
10186104	7301994	1	askerAnswerer
497600	4183151	1	askerAnswerer
5495304	5495304	1	askerAnswerer
7660421	2099607	1	askerAnswerer
8767101	10574412	1	askerAnswerer
9633432	1626564	1	askerAnswerer
10345968	3802483	1	askerAnswerer
3052890	2099607	1	askerAnswerer
3052890	7953862	1	askerAnswerer
226958	2099607	1	askerAnswerer
6531629	3015734	1	askerAnswerer
3119628	3607203	1	askerAnswerer
3119628	3119628	1	askerAnswerer
8977425	2760559	1	askerAnswerer
9328846	2099607	1	askerAnswerer
8058705	2099607	1	askerAnswerer
8926217	2329988	1	askerAnswerer
8926217	5668710	1	askerAnswerer
7637120	5824830	1	askerAnswerer
3204706	4261833	1	askerAnswerer
7687917	6876820	1	askerAnswerer
10171009	2097240	1	askerAnswerer
6229792	9758922	1	askerAnswerer
9951218	8898218	1	askerAnswerer
7582019	5951397	1	askerAnswerer
7582019	2097240	1	askerAnswerer
8027995	997253	1	askerAnswerer
9082423	349130	1	askerAnswerer
7245353	7996768	1	askerAnswerer
3658166	5904707	1	askerAnswerer
9679935	8131929	1	askerAnswerer
6850241	6850241	1	askerAnswerer
9658877	9658877	1	askerAnswerer
9875012	2097240	1	askerAnswerer
9875012	9875012	1	askerAnswerer
7622536	3954958	1	askerAnswerer
9234390	3908170	1	askerAnswerer
8560558	2097240	1	askerAnswerer
8538125	8298761	1	askerAnswerer
7233229	1896918	1	askerAnswerer
7487684	349130	1	askerAnswerer
7487684	7712022	1	askerAnswerer
8093698	3038791	1	askerAnswerer
8093698	6248186	1	askerAnswerer
8093698	8093698	1	askerAnswerer
3233501	1854664	1	askerAnswerer
4808493	349130	1	askerAnswerer
3087119	349130	1	askerAnswerer
11769109	5298937	1	askerAnswerer
11769109	11747121	1	askerAnswerer
1892346	8889727	1	askerAnswerer
4613656	4613656	1	askerAnswerer
9040452	4685471	1	askerAnswerer
9040452	9040452	1	askerAnswerer
2962001	5974433	1	askerAnswerer
1150108	10807234	1	askerAnswerer
11971761	349130	1	askerAnswerer
11971761	1673784	1	askerAnswerer
11309950	9000214	1	askerAnswerer
10813286	10897466	1	askerAnswerer
10813286	3177661	1	askerAnswerer
11802639	2097240	1	askerAnswerer
11802639	4685471	1	askerAnswerer
8163412	5210098	1	askerAnswerer
8163412	997378	1	askerAnswerer
8163412	2097240	1	askerAnswerer
11549491	7200084	1	askerAnswerer
434912	11840555	1	askerAnswerer
7558022	2249269	1	askerAnswerer
11788457	10237052	1	askerAnswerer
11788457	11789753	1	askerAnswerer
8614829	1918190	1	askerAnswerer
8614829	lintex	1	askerAnswerer
8614829	6029751	1	askerAnswerer
8614829	6650382	1	askerAnswerer
8614829	11117505	1	askerAnswerer
8614829	7257643	1	askerAnswerer
8614829	9389666	1	askerAnswerer
8614829	11450077	1	askerAnswerer
8614829	8188662	1	askerAnswerer
11766668	5298937	1	askerAnswerer
11766668	5668710	1	askerAnswerer
9673730	9673730	1	askerAnswerer
9673730	6055798	1	askerAnswerer
10671392	423926	1	askerAnswerer
10671392	349130	1	askerAnswerer
5865514	6902337	1	askerAnswerer
5073704	6504837	1	askerAnswerer
5073704	10555355	1	askerAnswerer
10840273	349130	1	askerAnswerer
9925589	10238218	1	askerAnswerer
11277304	8625500	1	askerAnswerer
11277304	11277304	1	askerAnswerer
11277304	9849170	1	askerAnswerer
8382707	8346078	1	askerAnswerer
4720169	11153431	1	askerAnswerer
4818540	2455494	1	askerAnswerer
3879426	3016483	1	askerAnswerer
5821937	10956606	1	askerAnswerer
5397301	4718350	1	askerAnswerer
11277304	11192099	1	askerAnswerer
5231224	5231224	1	askerAnswerer
11282037	5232335	1	askerAnswerer
9922482	2099607	1	askerAnswerer
6187009	2099607	1	askerAnswerer
6187009	4468490	1	askerAnswerer
11304345	7389608	1	askerAnswerer
5366046	2099607	1	askerAnswerer
9731282	10537190	1	askerAnswerer
6835329	9703830	1	askerAnswerer
6835329	4685471	1	askerAnswerer
4512646	4569506	1	askerAnswerer
8372455	10809912	1	askerAnswerer
4028201	4028201	1	askerAnswerer
8038398	3518825	1	askerAnswerer
8879559	10305819	1	askerAnswerer
8879559	1698143	1	askerAnswerer
4406595	9710391	1	askerAnswerer
4406595	9316748	1	askerAnswerer
7286275	2641587	1	askerAnswerer
1179925	1179925	1	askerAnswerer
2959990	4995844	1	askerAnswerer
2959990	5884955	1	askerAnswerer
7258619	user9477964	1	askerAnswerer
10752514	2099607	1	askerAnswerer
260826	10111931	1	askerAnswerer
9245347	8093922	1	askerAnswerer
10300594	2097240	1	askerAnswerer
9134476	8609330	1	askerAnswerer
9134476	9758922	1	askerAnswerer
10551333	2099607	1	askerAnswerer
9749306	9919799	1	askerAnswerer
5020881	2099607	1	askerAnswerer
3119628	4870005	1	askerAnswerer
10003894	2099607	1	askerAnswerer
10003894	5120376	1	askerAnswerer
9495274	7699859	1	askerAnswerer
10031851	8563649	1	askerAnswerer
7017670	9758922	1	askerAnswerer
9468262	8357000	1	askerAnswerer
8735043	2097240	1	askerAnswerer
6696880	5974433	1	askerAnswerer
7993917	1635180	1	askerAnswerer
3455652	3455652	1	askerAnswerer
3819091	7900280	1	askerAnswerer
3993741	3994824	1	askerAnswerer
8564860	349130	1	askerAnswerer
12187261	5652313	1	askerAnswerer
11989989	8748870	1	askerAnswerer
11989989	12192957	1	askerAnswerer
4073665	10416716	1	askerAnswerer
9610773	1318499	1	askerAnswerer
4412095	7212365	1	askerAnswerer
5048010	2846923	1	askerAnswerer
2991243	5085211	1	askerAnswerer
5510818	5510818	1	askerAnswerer
5623899	349130	1	askerAnswerer
11309950	10606534	1	askerAnswerer
7858253	349130	1	askerAnswerer
4729764	2099607	1	askerAnswerer
3993741	4438782	1	askerAnswerer
3993741	6458334	1	askerAnswerer
10542348	2099607	1	askerAnswerer
1450312	1618292	1	askerAnswerer
6859553	1438845	1	askerAnswerer
6859553	1055144	1	askerAnswerer
6859553	6805747	1	askerAnswerer
6859553	8156353	1	askerAnswerer
4915737	9571777	1	askerAnswerer
4915737	8796240	1	askerAnswerer
10232824	9477338	1	askerAnswerer
1125383	7378795	1	askerAnswerer
7059780	2980717	1	askerAnswerer
10870968	5154274	1	askerAnswerer
11065347	6114359	1	askerAnswerer
11065347	11065347	1	askerAnswerer
7687401	1531463	1	askerAnswerer
7687401	2679740	1	askerAnswerer
1308333	7141506	1	askerAnswerer
11217227	10886420	1	askerAnswerer
10435242	8784825	1	askerAnswerer
6014338	4006592	1	askerAnswerer
588855	4785185	1	askerAnswerer
588855	9226932	1	askerAnswerer
1766088	9487195	1	askerAnswerer
1766088	604048	1	askerAnswerer
2607447	5502111	1	askerAnswerer
2607447	6757884	1	askerAnswerer
2607447	8180401	1	askerAnswerer
2607447	529630	1	askerAnswerer
2607447	2334551	1	askerAnswerer
2607447	5884955	1	askerAnswerer
10523748	2099607	1	askerAnswerer
10523748	1173884	1	askerAnswerer
10523748	10111013	1	askerAnswerer
4061327	2099607	1	askerAnswerer
10121004	2099607	1	askerAnswerer
9717380	4466962	1	askerAnswerer
10724777	10724777	1	askerAnswerer
2443944	2443944	1	askerAnswerer
8764576	141789	1	askerAnswerer
10730211	2097240	1	askerAnswerer
7311070	2099607	1	askerAnswerer
5454643	2099607	1	askerAnswerer
5049813	2099607	1	askerAnswerer
4780863	3482325	1	askerAnswerer
1115237	2099607	1	askerAnswerer
4324126	2099607	1	askerAnswerer
4324126	4466962	1	askerAnswerer
3494669	2099607	1	askerAnswerer
3494669	349130	1	askerAnswerer
8926217	3114765	1	askerAnswerer
8926217	602721	1	askerAnswerer
6145828	2099607	1	askerAnswerer
9768291	173773	1	askerAnswerer
9768291	5716062	1	askerAnswerer
1904749	349130	1	askerAnswerer
1904749	5234494	1	askerAnswerer
8460161	8650928	1	askerAnswerer
8460161	5450900	1	askerAnswerer
10280951	1138455	1	askerAnswerer
2350398	5030164	1	askerAnswerer
8915760	8563649	1	askerAnswerer
2489835	2099607	1	askerAnswerer
7245353	7896849	1	askerAnswerer
5024768	2610004	1	askerAnswerer
9165727	7994236	1	askerAnswerer
2176736	2378649	1	askerAnswerer
1446289	1626564	1	askerAnswerer
1446289	1446289	1	askerAnswerer
7835965	2097240	1	askerAnswerer
5031496	5031496	1	askerAnswerer
4023306	4023306	1	askerAnswerer
9357259	9418446	1	askerAnswerer
100208	712995	1	askerAnswerer
9155924	1762211	1	askerAnswerer
2850762	349130	1	askerAnswerer
2777474	6599314	1	askerAnswerer
2777474	5974433	1	askerAnswerer
5721377	4955956	1	askerAnswerer
11304345	9875707	1	askerAnswerer
11304345	11304345	1	askerAnswerer
11304345	3883531	1	askerAnswerer
4934409	6901690	1	askerAnswerer
4934409	6314194	1	askerAnswerer
4934409	824979	1	askerAnswerer
8857724	2097240	1	askerAnswerer
7968996	6583140	1	askerAnswerer
7968996	7968996	1	askerAnswerer
7968996	9936228	1	askerAnswerer
5031496	2876799	1	askerAnswerer
5031496	365837	1	askerAnswerer
5031496	1002035	1	askerAnswerer
5031496	1637126	1	askerAnswerer
5031496	5892689	1	askerAnswerer
5031496	3293408	1	askerAnswerer
3173765	4514785	1	askerAnswerer
1420331	1420331	1	askerAnswerer
11917598	6013016	1	askerAnswerer
11355966	11939354	1	askerAnswerer
9025377	9571777	1	askerAnswerer
11309950	2455494	1	askerAnswerer
4512432	2097240	1	askerAnswerer
